,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,12 guests,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,8 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,id,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3721927,37.7592664,-122.4631119,0,120,5.0,1.001234268,239,1,1,0,0,0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14990478,37.7309544,-122.4446876,0,101,5.0,1.0100973629999999,219,1,1,0,0,0
2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4948340,37.7835415,-122.46771340000001,0,53,4.5,1.172587433,324,0,0,1,0,0
3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,545685,37.7761902,-122.4823081,0,68,5.0,1.172587433,616,1,1,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,394575,37.7424814,-122.4106881,0,149,5.0,1.047322361,339,1,1,0,0,0
5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6092596,37.763000000000005,-122.427,0,125,5.0,1.0552991459999999,396,1,1,0,0,0
6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10517693,37.7521842,-122.4419707,0,117,5.0,1.083661049,189,1,1,0,0,0
7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,748222,37.756212299999994,-122.41554640000001,0,90,5.0,1.047322361,544,1,0,0,0,0
8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19316565,37.7901101,-122.4068003,0,75,5.0,1.024869187,11,0,1,0,0,0
9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14804950,37.745692,-122.41758259999999,0,93,5.0,1.047322361,252,0,1,0,0,0
10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4068598,37.7404,-122.3819,1,105,5.0,1.151611442,157,1,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1510363,37.7285685,-122.4521493,0,150,5.0,1.0100973629999999,225,1,1,0,0,0
12,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5550248,37.7158747,-122.44835549999999,0,74,4.5,1.0100973629999999,405,0,0,1,0,0
13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,585326,37.7763219,-122.48067179999998,0,66,5.0,1.172587433,548,1,1,0,0,0
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11398231,37.716503100000004,-122.4669416,0,70,4.5,0.922057288,215,0,1,0,0,0
15,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2047469,37.7249146,-122.43515520000001,0,59,4.5,1.0100973629999999,332,1,0,1,0,0
16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8356380,37.711701899999994,-122.4345145,0,98,5.0,1.0100973629999999,347,1,0,1,0,0
17,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4275896,37.750573100000004,-122.4172257,0,67,4.5,1.047322361,213,0,0,1,0,0
18,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2119773,37.7184688,-122.4518128,0,100,5.0,1.0100973629999999,275,0,1,0,0,0
19,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4439461,37.789738299999996,-122.4343917,0,129,5.0,0.8712422120000001,423,1,0,1,0,0
20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16406118,37.733000000000004,-122.415,0,25,5.0,0.983212642,146,1,0,1,0,0
21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4058557,37.7946091,-122.4121318,0,48,4.5,0.871833085,269,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20367796,37.746602,-122.4791699,0,40,5.0,0.922057288,72,1,0,1,0,0
23,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15343159,37.7214736,-122.4086808,0,69,5.0,0.983212642,238,1,0,1,0,0
24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1352085,37.881902000000004,-122.26331599999999,0,69,5.0,1.054708273,460,1,1,0,0,0
25,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,808660,37.7846034,-122.4438868,0,105,4.5,0.959577723,223,1,1,0,0,0
26,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2601171,37.808,-122.288,0,39,5.0,1.054708273,459,1,0,1,0,0
27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72444,37.794000000000004,-122.404,0,38,4.5,1.024869187,324,0,0,0,0,1
28,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,585225,37.7455531,-122.4338365,0,99,5.0,0.922057288,456,1,1,0,0,0
29,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20695687,37.7471,-122.4122,1,130,5.0,1.047322361,117,1,0,1,0,0
30,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22396902,37.7685857,-122.43348449999999,0,75,5.0,0.9430332790000001,59,0,0,0,0,0
31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6402502,37.8029201,-122.1919307,0,81,5.0,1.054708273,268,1,1,0,0,0
32,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2756856,37.7871883,-122.4303328,0,76,5.0,0.849084475,344,1,0,0,0,0
33,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998111,37.724405600000004,-122.43516890000001,0,60,5.0,1.0100973629999999,314,1,0,1,0,0
34,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,997382,37.7703033,-122.4502068,0,53,4.5,0.9430332790000001,344,0,0,1,0,0
35,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4252808,37.7573398,-122.508541,0,130,5.0,1.121772356,225,1,1,0,0,0
36,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,713877,37.7636947,-122.45303729999999,0,141,5.0,1.001234268,450,1,1,0,0,0
37,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2736358,37.767464700000005,-122.4448272,0,185,5.0,0.9430332790000001,240,1,1,0,0,0
38,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3712191,37.878887,-122.5370332,0,160,5.0,1.172587433,808,1,1,0,0,0
39,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6430646,37.7544,-122.4477,1,120,5.0,1.083661049,182,1,0,1,0,0
40,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3030653,37.767095899999994,-122.4241492,0,140,5.0,1.0552991459999999,343,1,1,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3257886,37.7639089,-122.4977868,0,140,5.0,1.121772356,399,1,1,0,0,0
42,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4526608,37.7342968,-122.3879504,0,95,4.5,1.151611442,253,1,1,0,0,0
43,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,992676,37.7348498,-122.43406540000001,0,160,5.0,0.983212642,481,1,1,0,0,0
44,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4902855,37.786589,-122.4135585,0,109,4.5,0.829585667,383,0,0,0,0,0
45,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9188845,37.733000000000004,-122.415,0,25,5.0,0.983212642,205,1,0,1,0,0
47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1926253,37.7224843,-122.42778759999999,0,85,5.0,0.983212642,100,1,1,0,0,0
48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,674871,37.855366700000005,-122.47955490000001,0,89,4.5,0.875378323,346,0,1,0,0,0
49,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8456859,37.773922,-122.5092505,0,125,4.5,1.172587433,96,0,1,0,0,0
50,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3710961,37.8770149,-122.27501740000001,0,90,5.0,1.054708273,510,1,1,0,0,0
51,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9347891,37.7742153,-122.4677324,0,135,5.0,1.172587433,162,1,1,0,0,0
52,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9435665,37.746872700000004,-122.42839690000001,0,105,5.0,0.922057288,259,1,0,1,0,0
53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4948327,37.78477879999999,-122.46803500000001,0,55,4.5,1.172587433,293,0,1,0,0,0
54,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12511225,37.7874494,-122.40925520000002,0,77,4.5,0.829585667,97,0,0,1,0,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1456375,37.8400374,-122.21182079999998,0,75,5.0,1.054708273,332,1,1,0,0,0
56,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12445752,37.9283541,-122.3904531,0,30,5.0,0.9448058979999999,185,1,0,1,0,0
57,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1725853,37.747327899999995,-122.489515,0,129,5.0,0.922057288,331,1,1,0,0,0
58,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205842,37.765,-122.397,0,230,5.0,1.105523349,627,1,1,0,0,0
59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5007358,37.7845695,-122.4145504,0,119,4.5,0.829585667,359,0,0,0,0,0
60,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9110032,37.773013299999995,-122.50108610000001,0,40,4.5,1.172587433,143,0,0,1,0,0
61,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20852099,37.7145248,-122.40657949999999,0,85,4.5,0.983212642,107,0,1,0,0,0
62,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17931634,37.7433,-122.414,1,100,5.0,1.047322361,23,1,1,0,0,0
63,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6494663,37.748000000000005,-122.492,0,45,5.0,0.922057288,249,1,0,1,0,0
64,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4156390,37.739673100000005,-122.4269439,0,81,5.0,0.983212642,304,1,0,1,0,0
65,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14552390,37.785984,-122.4077414,0,89,4.5,0.829585667,106,0,1,0,0,0
66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12026856,37.7453881,-122.4304595,0,90,5.0,0.922057288,248,1,0,1,1,0
67,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3759246,37.7557465,-122.4791684,0,100,4.5,1.121772356,280,0,1,0,0,0
68,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15481217,37.86108,-122.28149950000001,0,95,5.0,1.054708273,265,1,1,0,0,0
69,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,348714,37.7730653,-122.44293329999999,0,165,5.0,0.9430332790000001,303,1,1,0,0,0
70,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3692187,37.7789419,-122.2427738,0,109,5.0,1.054708273,540,1,0,0,0,0
71,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1277771,37.785236499999996,-122.476276,0,190,4.5,1.172587433,362,1,1,0,0,0
72,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2374370,37.7878414,-122.43082220000001,0,89,5.0,0.8712422120000001,338,1,0,0,0,0
73,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,567239,37.744724299999994,-122.43698789999999,0,95,5.0,0.983212642,523,1,0,1,0,0
74,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4902907,37.785759999999996,-122.41489140000002,0,109,4.5,0.829585667,342,0,0,0,0,0
75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3050172,37.797855600000005,-122.21039440000001,0,65,5.0,1.054708273,232,1,1,0,0,0
76,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3720392,37.7609914,-122.4652097,0,120,5.0,1.001234268,231,1,1,0,0,0
77,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10988195,37.7767304,-122.1718415,0,79,5.0,1.054708273,246,1,1,0,0,0
78,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,748256,37.7549539,-122.41683090000001,0,115,5.0,1.047322361,562,1,0,0,0,0
