,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room,logprice
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7592664,-122.4631119,0,120,5.0,1.001234268,239,1,1,0,0,0,4.787491742782046
1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7309544,-122.4446876,0,101,5.0,1.010097363,219,1,1,0,0,0,4.61512051684126
2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7835415,-122.4677134,0,53,4.5,1.172587433,324,0,0,1,0,0,3.970291913552122
3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7761902,-122.4823081,0,68,5.0,1.172587433,616,1,1,0,0,0,4.219507705176107
4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,37.7424814,-122.4106881,0,149,5.0,1.047322361,339,1,1,0,0,0,5.003946305945459
5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.76300000000001,-122.427,0,125,5.0,1.055299146,396,1,1,0,0,0,4.8283137373023015
6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.7521842,-122.4419707,0,117,5.0,1.083661049,189,1,1,0,0,0,4.762173934797756
7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,37.7562123,-122.4155464,0,90,5.0,1.047322361,544,1,0,0,0,0,4.499809670330265
8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.7901101,-122.4068003,0,75,5.0,1.024869187,11,0,1,0,0,0,4.31748811353631
9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.745692,-122.4175826,0,93,5.0,1.047322361,252,0,1,0,0,0,4.532599493153256
10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.7404,-122.3819,1,105,5.0,1.151611442,157,1,0,0,0,0,4.653960350157523
11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.7285685,-122.4521493,0,150,5.0,1.010097363,225,1,1,0,0,0,5.0106352940962555
